latitude,longitude,countyCode,postmileValue,routeNumber,direction,postmileSuffixCode,ID
37.73860336,-121.5571172,ALA,0.074,580,E,R,111
37.73860336,-121.5571172,ALA,0.074,580,W,L,112
37.7427094,-121.5616218,ALA,0.214,205,E,R,94
37.74286754,-121.5614905,ALA,0.214,205,W,L,95
37.74251152,-121.5612803,ALA,0.39,580,E,R,113
37.74098744,-121.562407,ALA,0.39,580,W,L,114
37.82387305,-122.3135952,ALA,1.989,80,E,R,43
37.82484517,-122.3138071,ALA,1.989,80,W,L,44
37.617574,-122.153299,ALA,2.594,92,W,L,65
37.535077,-122.0753266,ALA,3.18,84,N,R,60
37.535077,-122.0753266,ALA,3.18,84,S,L,61
37.85451206,-122.2179741,ALA,5.887,24,E,R,29
37.85451206,-122.2179741,ALA,5.887,24,W,L,30
37.562075,-121.9052773,ALA,8.312,680,N,R,130
37.61752414,-122.0741361,ALA,14.537,880,N,R,139
37.61753398,-122.0745907,ALA,14.537,880,S,L,140
37.67395146,-121.805239,ALA,26.215,84,N,R,62
37.69396125,-122.0570116,ALA,28.413,580,E,R,115
37.69396125,-122.0570116,ALA,28.413,580,W,L,116
37.69081723,-122.0891197,ALA,30.354,580,E,R,117
37.69044558,-122.0889391,ALA,30.354,580,W,L,118
37.73551984,-122.139876,ALA,34.881,580,E,R,119
37.88530502,-122.3086816,ALA,47.35,580,E,R,120
37.72365604,-121.9401377,CC,0.02,680,N,R,131
37.72365604,-121.9401377,CC,0.02,680,S,L,132
38.02417356,-121.7515333,CC,1.327,160,N,R,93
37.93210642,-122.4034641,CC,6.13,580,W,L,121
37.881612,-122.181319,CC,6.257,24,W,L,31
37.99340349,-122.3011893,CC,7.615,80,E,R,45
37.99352062,-122.3014807,CC,7.615,80,W,L,46
38.01877159,-121.9421354,CC,20.102,4,E,R,3
38.018932,-121.9421354,CC,20.102,4,W,L,4
38.02635627,-122.1134414,CC,24.56,680,N,R,133
38.038463,-122.121149,CC,25.46,680,N,R,134
39.16343097,-122.9207646,LAK,52.539,29,N,R,32
39.16343097,-122.9207649,LAK,52.539,29,S,L,33
38.21510925,-122.2200518,NAP,2.3,12,E,R,21
38.21510925,-122.2200518,NAP,2.3,12,W,L,22
38.28194958,-122.3001929,NAP,10.305,29,N,R,34
38.2819545,-122.3004426,NAP,10.305,29,S,L,35
36.86216397,-121.5785967,SBT,3.049,101,N,R,72
36.86209284,-121.5798346,SBT,3.049,101,S,L,73
37.36235585,-121.9031819,SCL,3.935,880,S,L,141
37.22630704,-121.9751528,SCL,7.073,17,N,R,27
37.2263827,-121.9752833,SCL,7.073,17,S,L,28
37.0594192,-121.5843753,SCL,10.27,101,N,R,74
37.0594192,-121.5843753,SCL,10.27,101,S,L,75
37.01271995,-121.3443584,SCL,26.309,152,E,R,89
37.01271995,-121.3443584,SCL,26.309,152,W,L,90
37.06768394,-121.2139597,SCL,35.161,152,E,R,91
37.06768394,-121.2139597,SCL,35.161,152,W,L,92
37.80957013,-122.4773881,SF,10.08,101,N,R,76
37.80950789,-122.4775384,SF,10.08,101,S,L,77
37.74311259,-121.5562377,SJ,0,205,E,R,96
37.7432604,-121.5562328,SJ,0,205,W,L,97
37.59751123,-121.3418685,SJ,0,580,E,R,122
37.59724546,-121.3420558,SJ,0,580,W,L,123
37.74069735,-121.5049189,SJ,2.85,205,E,R,98
37.74091553,-121.5049664,SJ,2.85,205,W,L,99
37.63869465,-121.4015738,SJ,4.344,580,E,R,124
37.63876,-121.402291,SJ,4.344,580,W,L,125
