latitude,longitude,countyCode,postmileValue,routeNumber,direction,postmileSuffixCode,ID
37.89122204,-121.4900067,SJ,4.421,4,E,R,5
37.89122204,-121.4900067,SJ,4.421,4,W,L,6
37.68156857,-121.3430983,SJ,6.467,5,N,R,11
37.68164436,-121.3434743,SJ,6.467,5,S,L,12
38.05805094,-121.1886856,SJ,6.52,88,E,R,63
38.05805094,-121.1886856,SJ,6.52,88,W,L,64
37.76410413,-121.4146744,SJ,8.127,205,E,R,100
37.76410413,-121.4146744,SJ,8.127,205,W,L,101
37.67234483,-121.457098,SJ,8.149,580,E,R,126
37.67212474,-121.4573888,SJ,8.149,580,W,L,127
37.797654,-121.14315,SJ,8.84,120,E,R,87
37.797654,-121.14315,SJ,8.84,120,W,L,88
37.87467893,-121.2194661,SJ,12.526,99,N,R,68
37.87469564,-121.2197122,SJ,12.526,99,S,L,69
37.73885593,-121.556894,SJ,15.34,580,E,R,128
37.73860336,-121.5571172,SJ,15.34,580,W,L,129
38.11605929,-121.2648515,SJ,17.7,12,E,R,23
38.11618376,-121.2648507,SJ,17.7,12,W,L,24
37.94122082,-121.2349369,SJ,19.75,4,E,R,7
37.94122082,-121.2349369,SJ,19.75,4,W,L,8
37.96424838,-121.3352405,SJ,28.533,5,N,R,13
37.96417138,-121.3355442,SJ,28.533,5,S,L,14
38.02120646,-121.3585683,SJ,32.664,5,N,R,15
38.02115207,-121.3589024,SJ,32.664,5,S,L,16
37.93003609,-121.0001426,SJ,33.08,4,E,R,9
37.93003609,-121.0001426,SJ,33.08,4,W,L,10
38.24581693,-121.2879847,SJ,38.783,99,N,R,70
38.24564823,-121.2881446,SJ,38.783,99,S,L,71
38.11599496,-121.3977799,SJ,39.573,5,N,R,17
38.11599212,-121.3981358,SJ,39.573,5,S,L,18
38.18934449,-121.4045254,SJ,44.712,5,N,R,19
38.18935151,-121.4049679,SJ,44.712,5,S,L,20
37.44977208,-122.2776012,SM,5.6,280,N,R,102
37.44977208,-122.2776012,SM,5.6,280,S,L,103
37.57094794,-122.3139235,SM,13.461,101,N,R,78
37.57080154,-122.3140606,SM,13.461,101,S,L,79
37.56631365,-122.2702506,SM,13.831,92,E,R,66
37.56631365,-122.2702506,SM,13.831,92,W,L,67
37.6026237,-122.3803485,SM,17.95,101,N,R,80
37.60253898,-122.3805186,SM,17.95,101,S,L,81
38.074512,-122.2308417,SOL,0,29,N,R,36
38.076481,-122.232136,SOL,0,29,S,L,37
38.06096654,-122.2251745,SOL,0,80,E,R,47
38.07608023,-122.2316812,SOL,1.144,80,E,R,48
38.07627925,-122.2320315,SOL,1.144,80,W,L,49
38.41689891,-121.9442618,SOL,3.058,505,N,R,104
38.41689891,-121.9442618,SOL,3.058,505,S,L,105
38.14005365,-122.2559406,SOL,4.725,29,N,R,38
38.13988371,-122.2561416,SOL,4.725,29,S,L,39
38.08909523,-122.2212369,SOL,6.656,780,E,R,135
38.08892227,-122.2213653,SOL,6.656,780,W,L,136
38.09160132,-122.2304047,SOL,7.186,780,E,R,137
38.09141384,-122.2304733,SOL,7.186,780,W,L,138
38.13821,-122.25739,SOL,9.527,37,W,L,40
38.21663917,-122.1377095,SOL,12.839,80,E,R,50
38.24004813,-122.0917169,SOL,15.815,80,E,R,51
38.24005076,-122.0923289,SOL,15.815,80,W,L,52
38.33651701,-122.016582,SOL,23.958,80,E,R,53
38.38799746,-121.9338296,SOL,29.859,80,E,R,54
38.38830611,-121.9338796,SOL,29.859,80,W,L,55
38.53758343,-121.7384004,SOL,44.72,80,E,R,56
38.53758343,-121.7384004,SOL,44.72,80,W,L,57
38.3164212,-122.8965161,SON,0.19,1,N,R,1
38.3164212,-122.8965161,SON,0.19,1,S,L,2
38.134063,-122.476357,SON,2.06,37,E,R,41
38.134063,-122.476357,SON,2.06,37,W,L,42
38.50211917,-122.9969765,SON,12.067,116,E,R,86
38.43112798,-122.7152992,SON,19.646,101,N,R,82
38.43120478,-122.7155253,SON,19.646,101,S,L,83
38.659271,-122.874186,SON,38.558,101,N,R,84
38.659271,-122.874186,SON,38.558,101,S,L,85
38.22316148,-122.2578783,SON,41.361,12,E,R,25
38.22316148,-122.2578783,SON,41.361,12,W,L,26
38.53758343,-121.7384004,YOL,0,80,E,R,58
38.53769293,-121.738594,YOL,0,80,W,L,59
38.5314597,-121.9528179,YOL,0.396,505,N,R,106
38.53136354,-121.9531022,YOL,0.396,505,S,L,107
38.67959947,-121.9518839,YOL,10.623,505,N,R,108
38.67964265,-121.9521843,YOL,10.623,505,S,L,109
38.852947,-121.945048,YOL,22.356,505,S,L,110
