"route","county","post_mile","leg","direction","station","description","year","integer_hour","median_count","avg_count","sd_count","days_observed"
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",0,0,0.209302325581395,0.638381119741243,43
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",1,3610,3534.51111111111,2942.8308852518,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",2,290,310.755555555556,258.819624410125,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",3,2960,2732.11111111111,2255.51407385849,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",4,395,467,440.083153299671,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",5,0,1.11111111111111,2.58687440590362,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",6,5,7.66666666666667,13.5646599662505,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",7,0,1.48888888888889,3.16674641047919,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",8,0,1.73333333333333,4.12530990571397,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",9,0,3.48888888888889,8.65663755377189,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",10,0,2.93333333333333,7.08519583356735,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",11,0,4.15555555555556,9.9452034019959,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",12,0,5,11.9677597204854,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",13,0,7.4,17.5957122876311,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",14,0,6.77777777777778,16.3121383817652,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",15,0,9.57777777777778,21.4947021896611,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",16,2,12.6444444444444,23.1410257055963,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",17,0,9.68888888888889,21.3316050436289,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",18,0,10.8888888888889,24.2545424257566,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",19,0,4.56818181818182,10.6801222170359,44
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",20,0,3.86666666666667,9.13932561665644,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",21,0,2.17777777777778,5.1798950888327,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",22,0,1.64444444444444,3.74260213047964,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2010",23,0,0.577777777777778,1.51490907151205,45
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",0,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",1,7470,6153.64406779661,3614.35366837468,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",2,590,505.338983050847,280.524238928714,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",3,5460,4672.96610169491,2763.84182868765,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",4,1095,896.016949152542,579.565666492365,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",5,0,5.52631578947368,10.030498604538,57
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",6,20,30.6034482758621,32.7145762111129,58
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",7,0,1.10169491525424,2.28710715680264,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",8,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",9,0,0.593220338983051,1.63072486598589,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",10,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",11,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",12,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",13,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",14,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",15,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",16,3,3.86440677966102,3.8212546554793,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",17,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",18,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",19,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",20,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",21,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",22,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2011",23,0,0,0,59
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",0,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",1,7880,6494.68085106383,3840.31056322489,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",2,580,473.085106382979,279.143786370054,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",3,5595,4987.44680851064,2982.92092629757,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",4,1205,969.787234042553,625.152118398263,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",5,5,6.6304347826087,9.89131761956959,46
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",6,20,30.1063829787234,31.1986858994115,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",7,0,0.851063829787234,2.16673189493597,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",8,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",9,0,0.957446808510638,2.24535701439864,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",10,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",11,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",12,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",13,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",14,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",15,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",16,2,2.65957446808511,2.45194329093123,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",17,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",18,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",19,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",20,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",21,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",22,0,0,0,47
"001","SON",0.19,"B","N",1,"VALLEY FORD ROAD","2012",23,0,0,0,47
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",0,0,0.4,0.939051746081216,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",1,3610,3534.53333333333,2942.80360757004,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",2,290,310.733333333333,258.846690322494,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",3,2960,2732.13333333333,2255.48654900163,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",4,395,467.044444444444,440.035016972077,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",5,0,1.24444444444444,2.56865330435616,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",6,5,7.75555555555556,13.534728992074,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",7,0,2.06666666666667,4.21792710829729,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",8,0,4.73333333333333,11.2621651398105,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",9,0,6.33333333333333,15.182226450689,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",10,0,4.31111111111111,10.5718799872419,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",11,0,4.82222222222222,11.5252467709509,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",12,0,5.35555555555556,12.7299852809234,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",13,0,6.44444444444444,15.3216358543246,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",14,0,5.02222222222222,11.8580407872941,45
"001","SON",0.19,"B","S",1,"VALLEY FORD ROAD","2010",15,0,7.08888888888889,15.7232055230221,45
